"Latest: Time (s)";"Latest: Pressure (kPa)"
0;96,1485413994
5;96,2313897561
10;96,1485413994
15;96,2274445962
20;96,3024026332
25;96,3418542317
30;96,4759896663
35;96,5903993017
40;96,6416863797
45;96,7916024537
50;96,8823411301
55;96,9770249663
60;97,0283120442
65;97,0480378434
70;97,083544282
75;97,1624474789
80;97,2255700363
85;97,2808022741
90;97,3241990324
95;97,3399796718
100;97,3991570694
105;97,4741151064
110;97,4701699466
115;97,5411828237
120;97,5885247418
125;97,6319215001
130;97,6358666599
135;97,6319215001
140;97,7029343772
145;97,7700020946
150;97,7739472544
155;97,8370698119
160;97,8370698119
165;97,8883568898
170;97,8962472095
175;97,9475342875
180;98,0146020048
185;98,0264374843
190;98,0619439229
195;98,0658890827
200;98,0895600418
205;98,1921341977
210;98,2986535134
215;98,310488993
220;98,3144341528
225;98,3696663906
230;98,3302147922
235;98,4998566654
240;98,409117989
245;98,5156373048
250;98,4209534685
255;98,5156373048
260;98,5905953418
265;98,6694985386
270;98,6694985386
275;98,6813340181
280;98,7365662559
285;98,6813340181
290;98,7562920551
295;98,8391404118
300;98,8115242929
305;98,8194146126
310;98,8943726496
315;98,9298790882
320;98,8628113709
325;98,9653855268
330;99,0166726047
335;99,0719048425
340;99,060069363
345;99,0679596827
350;99,1034661212
355;99,0561242031
360;99,1113564409
365;99,1468628795
370;99,1626435189
375;99,1626435189
380;99,1705338386
385;99,1942047976
390;99,2376015559
395;99,2218209165
400;99,2415467157
405;99,2967789535
410;99,3007241134
415;99,3243950724
420;99,3046692732
425;99,3322853921
430;99,3401757118
435;99,2967789535
440;99,4151337488
445;99,4309143882
450;99,4309143882
455;99,4032982693
460;99,4822014661
465;99,4822014661
470;99,4822014661
475;99,4940369456
480;99,5295433842
485;99,5532143433
490;99,5492691834
495;99,5966111015
500;99,6045014212
505;99,6123917409
510;99,6084465811
515;99,6005562614
520;99,6005562614
525;99,6360627
530;99,6518433393
535;99,6557884992
540;99,6636788188
545;99,6991852574
550;99,6991852574
555;99,7386368559
560;99,734691696
565;99,7189110566
570;99,7425820157
575;99,7268013763
580;99,7780884543
585;99,7780884543
590;99,7938690936
595;99,8017594133
600;99,7938690936
